graph_index,num_vertices,num_edges,edges,move_1_candidates,move_1_results,move_2_candidates,move_2_results,move_3_candidates,move_3_results,is_connected,is_stuck_graph,iii_class_id,size_of_iii_class,is_in_stuck_class
0,0,0,,[],[],[],[],[],[],False,True,0,1,True
1,1,0,,[0],[0],[],[],[],[],True,False,1,1,False
2,2,0,,"[0, 1]","[1, 1]","[(0, 1)]",[0],[],[],False,False,2,1,False
3,2,1,"(0, 1)",[],[],"[(0, 1)]",[0],[],[],True,False,3,1,False
4,3,0,,"[0, 1, 2]","[2, 2, 2]","[(0, 1), (0, 2), (1, 2)]","[1, 1, 1]","[(0, 1, 2)]",[7],False,False,4,2,False
5,3,1,"(1, 2)",[0],[3],"[(1, 2)]",[1],"[(0, 1, 2)]",[6],False,False,5,2,False
6,3,2,"(0, 1); (0, 2)",[],[],"[(1, 2)]",[1],"[(0, 1, 2)]",[5],True,False,5,2,False
7,3,3,"(0, 1); (0, 2); (1, 2)",[],[],"[(0, 1), (0, 2), (1, 2)]","[1, 1, 1]","[(0, 1, 2)]",[4],True,False,4,2,False
8,4,0,,"[0, 1, 2, 3]","[4, 4, 4, 4]","[(0, 1), (0, 2), (0, 3), (1, 2), (1, 3), (2, 3)]","[2, 2, 2, 2, 2, 2]","[(0, 1, 2), (0, 1, 3), (0, 2, 3), (1, 2, 3)]","[12, 12, 12, 12]",False,False,6,3,False
9,4,1,"(2, 3)","[0, 1]","[5, 5]","[(0, 1), (2, 3)]","[3, 2]","[(0, 2, 3), (1, 2, 3)]","[10, 10]",False,False,7,3,False
10,4,2,"(1, 3); (2, 3)",[0],[6],"[(1, 2)]",[2],"[(0, 1, 2), (1, 2, 3)]","[17, 9]",False,False,7,3,False
11,4,2,"(0, 1); (2, 3)",[],[],"[(0, 1), (2, 3)]","[3, 3]",[],[],False,False,8,1,False
12,4,3,"(1, 2); (1, 3); (2, 3)",[0],[7],"[(1, 2), (1, 3), (2, 3)]","[2, 2, 2]","[(0, 1, 2), (0, 1, 3), (0, 2, 3), (1, 2, 3)]","[16, 16, 16, 8]",False,False,6,3,False
13,4,3,"(0, 3); (1, 3); (2, 3)",[],[],"[(0, 1), (0, 2), (1, 2)]","[3, 3, 3]",[],[],True,False,9,1,False
14,4,3,"(0, 1); (0, 3); (1, 2)",[],[],[],[],"[(0, 2, 3), (1, 2, 3)]","[15, 15]",True,True,10,2,False
15,4,4,"(0, 3); (1, 2); (1, 3); (2, 3)",[],[],"[(1, 2)]",[3],"[(0, 1, 3), (0, 2, 3)]","[14, 14]",True,False,10,2,False
16,4,4,"(0, 1); (0, 3); (1, 2); (2, 3)",[],[],"[(0, 2), (1, 3)]","[2, 2]","[(0, 1, 2), (0, 1, 3), (0, 2, 3), (1, 2, 3)]","[12, 12, 12, 12]",True,False,6,3,False
17,4,5,"(0, 1); (0, 2); (0, 3); (1, 2); (2, 3)",[],[],"[(0, 2), (1, 3)]","[2, 3]","[(0, 1, 2), (0, 2, 3)]","[10, 10]",True,False,7,3,False
18,4,6,"(0, 1); (0, 2); (0, 3); (1, 2); (1, 3); (2, 3)",[],[],"[(0, 1), (0, 2), (0, 3), (1, 2), (1, 3), (2, 3)]","[3, 3, 3, 3, 3, 3]",[],[],True,False,11,1,False
19,5,0,,"[0, 1, 2, 3, 4]","[8, 8, 8, 8, 8]","[(0, 1), (0, 2), (0, 3), (0, 4), (1, 2), (1, 3), (1, 4), (2, 3), (2, 4), (3, 4)]","[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]","[(0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (0, 2, 4), (0, 3, 4), (1, 2, 3), (1, 2, 4), (1, 3, 4), (2, 3, 4)]","[23, 23, 23, 23, 23, 23, 23, 23, 23, 23]",False,False,12,4,False
20,5,1,"(3, 4)","[0, 1, 2]","[9, 9, 9]","[(0, 1), (0, 2), (1, 2), (3, 4)]","[5, 5, 5, 4]","[(0, 1, 2), (0, 3, 4), (1, 3, 4), (2, 3, 4)]","[32, 21, 21, 21]",False,False,13,6,False
21,5,2,"(0, 1); (1, 2)","[3, 4]","[10, 10]","[(0, 2), (3, 4)]","[4, 6]","[(0, 1, 2), (0, 2, 3), (0, 2, 4)]","[20, 33, 33]",False,False,13,6,False
22,5,2,"(0, 2); (3, 4)",[1],[11],"[(0, 2), (3, 4)]","[5, 5]","[(0, 1, 2), (1, 3, 4)]","[26, 26]",False,False,14,2,False
23,5,3,"(0, 1); (0, 2); (1, 2)","[3, 4]","[12, 12]","[(0, 1), (0, 2), (1, 2), (3, 4)]","[4, 4, 4, 7]","[(0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (0, 2, 4), (1, 2, 3), (1, 2, 4)]","[19, 28, 28, 28, 28, 28, 28]",False,False,12,4,False
24,5,3,"(1, 3); (2, 3); (3, 4)",[0],[13],"[(1, 2), (1, 4), (2, 4)]","[5, 5, 5]","[(0, 1, 2), (0, 1, 4), (0, 2, 4)]","[41, 41, 41]",False,False,15,5,False
25,5,3,"(0, 4); (2, 3); (3, 4)",[1],[14],[],[],"[(0, 2, 3), (0, 2, 4)]","[27, 27]",False,False,16,4,False
26,5,3,"(0, 1); (1, 2); (3, 4)",[],[],"[(0, 2), (3, 4)]","[5, 6]","[(0, 1, 2)]",[22],False,False,14,2,False
27,5,4,"(1, 2); (1, 3); (2, 3); (3, 4)",[0],[15],"[(1, 2)]",[5],"[(0, 1, 2), (1, 3, 4), (2, 3, 4)]","[37, 25, 25]",False,False,16,4,False
28,5,4,"(0, 1); (0, 3); (1, 2); (2, 3)",[4],[16],"[(0, 2), (1, 3)]","[4, 4]","[(0, 1, 2), (0, 1, 3), (0, 2, 3), (0, 2, 4), (1, 2, 3), (1, 3, 4)]","[23, 23, 23, 46, 23, 46]",False,False,12,4,False
29,5,4,"(0, 4); (1, 4); (2, 4); (3, 4)",[],[],"[(0, 1), (0, 2), (0, 3), (1, 2), (1, 3), (2, 3)]","[6, 6, 6, 6, 6, 6]",[],[],True,False,17,1,False
30,5,4,"(0, 4); (1, 3); (2, 3); (3, 4)",[],[],"[(1, 2)]",[6],"[(0, 1, 4), (0, 2, 4)]","[35, 35]",True,False,18,3,False
31,5,4,"(0, 1); (0, 4); (1, 2); (2, 3)",[],[],[],[],"[(1, 3, 4)]",[47],True,True,19,4,False
32,5,4,"(0, 1); (0, 2); (1, 2); (3, 4)",[],[],"[(0, 1), (0, 2), (1, 2), (3, 4)]","[5, 5, 5, 7]","[(0, 1, 2)]",[20],False,False,13,6,False
33,5,5,"(0, 1); (0, 2); (0, 3); (1, 2); (2, 3)",[4],[17],"[(0, 2), (1, 3)]","[4, 5]","[(0, 1, 2), (0, 2, 3), (0, 2, 4), (1, 3, 4)]","[21, 21, 44, 49]",False,False,13,6,False
34,5,5,"(0, 4); (1, 4); (2, 3); (2, 4); (3, 4)",[],[],"[(0, 1), (2, 3)]","[7, 6]",[],[],True,False,20,1,False
35,5,5,"(0, 1); (0, 2); (0, 4); (1, 2); (2, 3)",[],[],[],[],"[(0, 1, 4), (1, 2, 3), (1, 3, 4)]","[30, 30, 50]",True,True,18,3,False
36,5,5,"(0, 4); (1, 2); (1, 3); (2, 3); (3, 4)",[],[],"[(1, 2)]",[6],"[(0, 1, 3), (0, 2, 3)]","[43, 43]",True,False,19,4,False
37,5,5,"(0, 1); (1, 3); (1, 4); (2, 3); (2, 4)",[],[],"[(3, 4)]",[5],"[(0, 1, 2), (2, 3, 4)]","[40, 27]",True,False,16,4,False
38,5,5,"(0, 1); (0, 4); (1, 2); (2, 3); (3, 4)",[],[],[],[],"[(0, 1, 3), (0, 2, 3), (0, 2, 4), (1, 2, 4), (1, 3, 4)]","[42, 42, 42, 42, 42]",True,True,21,2,False
