graph_index,num_vertices,num_edges,edges,even_vertices,num_even_vertices,num_admissible,bracket_terms,bracket_size,bracket_is_trivial
0,0,0,,,0,1,0,1,True
1,1,0,,0,1,1,0,1,True
2,2,0,,0; 1,2,1,0,1,True
3,2,1,"(0, 1)",,0,1,0,1,True
4,3,0,,0; 1; 2,3,1,0,1,True
5,3,1,"(1, 2)",0,1,1,0,1,True
6,3,2,"(0, 1); (0, 2)",0,1,1,0,1,True
7,3,3,"(0, 1); (0, 2); (1, 2)",0; 1; 2,3,1,0,1,True
8,4,0,,0; 1; 2; 3,4,1,0,1,True
9,4,1,"(2, 3)",0; 1,2,1,0,1,True
10,4,2,"(1, 3); (2, 3)",0; 3,2,1,0,1,True
11,4,2,"(0, 1); (2, 3)",,0,1,0,1,True
12,4,3,"(1, 2); (1, 3); (2, 3)",0; 1; 2; 3,4,1,0,1,True
13,4,3,"(0, 3); (1, 3); (2, 3)",,0,1,0,1,True
14,4,3,"(0, 1); (0, 3); (1, 2)",0; 1,2,1,0,1,True
15,4,4,"(0, 3); (1, 2); (1, 3); (2, 3)",1; 2,2,1,0,1,True
16,4,4,"(0, 1); (0, 3); (1, 2); (2, 3)",0; 1; 2; 3,4,1,0,1,True
17,4,5,"(0, 1); (0, 2); (0, 3); (1, 2); (2, 3)",1; 3,2,1,0,1,True
18,4,6,"(0, 1); (0, 2); (0, 3); (1, 2); (1, 3); (2, 3)",,0,1,0,1,True
19,5,0,,0; 1; 2; 3; 4,5,1,0,1,True
20,5,1,"(3, 4)",0; 1; 2,3,1,0,1,True
21,5,2,"(0, 1); (1, 2)",1; 3; 4,3,1,0,1,True
22,5,2,"(0, 2); (3, 4)",1,1,1,0,1,True
23,5,3,"(0, 1); (0, 2); (1, 2)",0; 1; 2; 3; 4,5,1,0,1,True
24,5,3,"(1, 3); (2, 3); (3, 4)",0,1,1,0,1,True
25,5,3,"(0, 4); (2, 3); (3, 4)",1; 3; 4,3,1,0,1,True
26,5,3,"(0, 1); (1, 2); (3, 4)",1,1,1,0,1,True
27,5,4,"(1, 2); (1, 3); (2, 3); (3, 4)",0; 1; 2,3,1,0,1,True
28,5,4,"(0, 1); (0, 3); (1, 2); (2, 3)",0; 1; 2; 3; 4,5,1,0,1,True
29,5,4,"(0, 4); (1, 4); (2, 4); (3, 4)",4,1,1,0,1,True
30,5,4,"(0, 4); (1, 3); (2, 3); (3, 4)",4,1,1,0,1,True
31,5,4,"(0, 1); (0, 4); (1, 2); (2, 3)",0; 1; 2,3,1,0,1,True
32,5,4,"(0, 1); (0, 2); (1, 2); (3, 4)",0; 1; 2,3,1,0,1,True
33,5,5,"(0, 1); (0, 2); (0, 3); (1, 2); (2, 3)",1; 3; 4,3,1,0,1,True
34,5,5,"(0, 4); (1, 4); (2, 3); (2, 4); (3, 4)",2; 3; 4,3,1,0,1,True
35,5,5,"(0, 1); (0, 2); (0, 4); (1, 2); (2, 3)",1,1,1,0,1,True
36,5,5,"(0, 4); (1, 2); (1, 3); (2, 3); (3, 4)",1; 2; 4,3,1,0,1,True
37,5,5,"(0, 1); (1, 3); (1, 4); (2, 3); (2, 4)",2; 3; 4,3,1,0,1,True
38,5,5,"(0, 1); (0, 4); (1, 2); (2, 3); (3, 4)",0; 1; 2; 3; 4,5,1,0,1,True
39,5,6,"(0, 1); (0, 3); (0, 4); (1, 3); (1, 4); (3, 4)",2,1,1,0,1,True
40,5,6,"(0, 1); (1, 2); (1, 3); (1, 4); (2, 3); (2, 4)",1; 3; 4,3,1,0,1,True
41,5,6,"(0, 1); (1, 3); (1, 4); (2, 3); (2, 4); (3, 4)",2,1,1,0,1,True
42,5,6,"(0, 1); (0, 4); (1, 4); (2, 3); (2, 4); (3, 4)",0; 1; 2; 3; 4,5,1,0,1,True
43,5,6,"(0, 1); (0, 3); (0, 4); (1, 2); (2, 3); (3, 4)",1; 2; 4,3,1,0,1,True
44,5,6,"(0, 2); (0, 3); (0, 4); (1, 2); (1, 3); (1, 4)",2; 3; 4,3,1,0,1,True
45,5,7,"(0, 4); (1, 2); (1, 3); (1, 4); (2, 3); (2, 4); (3, 4)",4,1,1,0,1,True
46,5,7,"(0, 3); (0, 4); (1, 3); (1, 4); (2, 3); (2, 4); (3, 4)",0; 1; 2; 3; 4,5,1,0,1,True
47,5,7,"(0, 1); (0, 4); (1, 2); (1, 3); (1, 4); (2, 3); (3, 4)",0; 1; 2,3,1,0,1,True
48,5,7,"(0, 2); (0, 3); (0, 4); (1, 2); (1, 3); (1, 4); (2, 4)",3,1,1,0,1,True
49,5,8,"(0, 1); (0, 3); (0, 4); (1, 3); (1, 4); (2, 3); (2, 4); (3, 4)",2; 3; 4,3,1,0,1,True
50,5,8,"(0, 1); (0, 3); (0, 4); (1, 2); (1, 4); (2, 3); (2, 4); (3, 4)",4,1,1,0,1,True
51,5,9,"(0, 1); (0, 3); (0, 4); (1, 2); (1, 3); (1, 4); (2, 3); (2, 4); (3, 4)",1; 3; 4,3,1,0,1,True
52,5,10,"(0, 1); (0, 2); (0, 3); (0, 4); (1, 2); (1, 3); (1, 4); (2, 3); (2, 4); (3, 4)",0; 1; 2; 3; 4,5,1,0,1,True
53,6,0,,0; 1; 2; 3; 4; 5,6,1,0,1,True
54,6,1,"(4, 5)",0; 1; 2; 3,4,1,0,1,True
55,6,2,"(0, 3); (4, 5)",1; 2,2,1,0,1,True
56,6,2,"(1, 2); (1, 3)",0; 1; 4; 5,4,1,0,1,True
57,6,3,"(1, 2); (1, 3); (2, 3)",0; 1; 2; 3; 4; 5,6,1,0,1,True
58,6,3,"(0, 3); (0, 4); (0, 5)",1; 2,2,1,0,1,True
59,6,3,"(0, 5); (3, 4); (4, 5)",1; 2; 4; 5,4,1,0,1,True
60,6,3,"(1, 5); (2, 5); (3, 4)",0; 5,2,1,0,1,True
61,6,3,"(0, 3); (1, 2); (4, 5)",,0,1,0,1,True
62,6,4,"(0, 3); (0, 4); (0, 5); (4, 5)",1; 2; 4; 5,4,1,0,1,True
63,6,4,"(0, 3); (0, 4); (3, 5); (4, 5)",0; 1; 2; 3; 4; 5,6,1,0,1,True
64,6,4,"(0, 5); (1, 5); (2, 5); (3, 5)",4; 5,2,1,0,1,True
65,6,4,"(0, 4); (1, 3); (2, 3); (3, 4)",4; 5,2,1,0,1,True
66,6,4,"(0, 2); (1, 2); (1, 3); (3, 5)",1; 2; 3; 4,4,1,0,1,True
67,6,4,"(0, 5); (1, 2); (1, 3); (2, 3)",1; 2; 3; 4,4,1,0,1,True
68,6,4,"(0, 3); (0, 4); (0, 5); (1, 2)",,0,1,0,1,True
69,6,4,"(0, 5); (1, 2); (3, 4); (4, 5)",4; 5,2,1,0,1,True
70,6,4,"(0, 2); (0, 4); (1, 3); (3, 5)",0; 3,2,1,0,1,True
71,6,5,"(0, 3); (0, 4); (0, 5); (3, 5); (4, 5)",1; 2; 3; 4,4,1,0,1,True
72,6,5,"(1, 3); (2, 3); (3, 4); (3, 5); (4, 5)",0; 3; 4; 5,4,1,0,1,True
73,6,5,"(0, 4); (2, 3); (3, 4); (3, 5); (4, 5)",1; 5,2,1,0,1,True
74,6,5,"(0, 4); (1, 2); (1, 3); (2, 3); (3, 4)",1; 2; 4; 5,4,1,0,1,True
75,6,5,"(0, 4); (1, 2); (1, 4); (2, 3); (3, 4)",1; 2; 3; 5,4,1,0,1,True
76,6,5,"(0, 1); (0, 4); (1, 2); (2, 3); (3, 4)",0; 1; 2; 3; 4; 5,6,1,0,1,True
77,6,5,"(0, 5); (1, 5); (2, 5); (3, 5); (4, 5)",,0,1,0,1,True
78,6,5,"(0, 1); (1, 2); (1, 4); (1, 5); (2, 3)",1; 2,2,1,0,1,True
79,6,5,"(0, 1); (0, 2); (0, 3); (3, 4); (3, 5)",,0,1,0,1,True
80,6,5,"(0, 1); (1, 2); (1, 3); (2, 4); (3, 5)",2; 3,2,1,0,1,True
81,6,5,"(0, 4); (0, 5); (1, 3); (2, 3); (3, 4)",0; 4,2,1,0,1,True
82,6,5,"(0, 1); (1, 2); (1, 3); (2, 3); (4, 5)",2; 3,2,1,0,1,True
83,6,5,"(0, 1); (0, 5); (2, 3); (3, 4); (4, 5)",0; 3; 4; 5,4,1,0,1,True
84,6,5,"(0, 3); (0, 4); (1, 5); (2, 5); (3, 4)",0; 3; 4; 5,4,1,0,1,True
85,6,5,"(0, 3); (0, 4); (1, 2); (3, 5); (4, 5)",0; 3; 4; 5,4,1,0,1,True
86,6,6,"(0, 3); (0, 4); (0, 5); (3, 4); (3, 5); (4, 5)",1; 2,2,1,0,1,True
87,6,6,"(0, 4); (1, 3); (1, 4); (2, 3); (2, 4); (3, 4)",1; 2; 4; 5,4,1,0,1,True
88,6,6,"(0, 4); (1, 2); (1, 3); (1, 4); (2, 3); (2, 4)",3; 5,2,1,0,1,True
89,6,6,"(0, 2); (0, 4); (2, 4); (3, 4); (3, 5); (4, 5)",0; 1; 2; 3; 4; 5,6,1,0,1,True
90,6,6,"(0, 1); (0, 3); (0, 4); (1, 2); (2, 3); (3, 4)",1; 2; 4; 5,4,1,0,1,True
91,6,6,"(0, 1); (0, 2); (1, 3); (1, 4); (2, 3); (2, 4)",0; 3; 4; 5,4,1,0,1,True
92,6,6,"(0, 5); (1, 5); (2, 5); (3, 4); (3, 5); (4, 5)",3; 4,2,1,0,1,True
93,6,6,"(0, 3); (0, 4); (1, 4); (2, 4); (3, 4); (3, 5)",0; 4,2,1,0,1,True
94,6,6,"(0, 4); (1, 5); (2, 3); (3, 4); (3, 5); (4, 5)",,0,1,94,1,False
95,6,6,"(0, 4); (0, 5); (1, 2); (1, 4); (2, 4); (3, 4)",0; 1; 2; 4,4,1,0,1,True
96,6,6,"(0, 2); (0, 3); (0, 4); (0, 5); (1, 2); (1, 3)",0; 1; 2; 3,4,1,0,1,True
97,6,6,"(0, 2); (1, 2); (1, 3); (1, 4); (2, 4); (3, 5)",3; 4,2,1,0,1,True
98,6,6,"(0, 2); (0, 3); (0, 4); (1, 2); (1, 3); (3, 5)",1; 2,2,1,0,1,True
99,6,6,"(0, 2); (1, 3); (2, 4); (2, 5); (3, 4); (3, 5)",4; 5,2,1,0,1,True
100,6,6,"(0, 1); (0, 2); (0, 3); (3, 4); (3, 5); (4, 5)",4; 5,2,1,0,1,True
101,6,6,"(0, 3); (0, 4); (0, 5); (1, 2); (3, 5); (4, 5)",3; 4,2,1,0,1,True
102,6,6,"(0, 4); (0, 5); (1, 2); (1, 3); (2, 3); (3, 4)",0; 1; 2; 4,4,1,0,1,True
103,6,6,"(0, 4); (0, 5); (1, 3); (1, 4); (2, 3); (2, 4)",0; 1; 2; 3,4,1,0,1,True
104,6,6,"(0, 1); (0, 4); (1, 2); (1, 5); (2, 3); (3, 4)",0; 2; 3; 4,4,1,0,1,True
105,6,6,"(0, 1); (0, 5); (1, 2); (2, 3); (3, 4); (4, 5)",0; 1; 2; 3; 4; 5,6,1,0,1,True
106,6,6,"(0, 4); (0, 5); (1, 2); (1, 3); (2, 3); (4, 5)",0; 1; 2; 3; 4; 5,6,1,0,1,True
107,6,7,"(0, 1); (0, 2); (0, 3); (0, 5); (1, 2); (1, 3); (2, 3)",0; 4,2,1,0,1,True
108,6,7,"(0, 1); (0, 2); (1, 2); (1, 3); (1, 4); (2, 3); (2, 4)",0; 1; 2; 3; 4; 5,6,1,0,1,True
109,6,7,"(0, 1); (0, 4); (1, 2); (1, 3); (1, 4); (2, 3); (3, 4)",0; 1; 2; 5,4,1,0,1,True
110,6,7,"(0, 1); (0, 2); (0, 3); (1, 3); (1, 5); (2, 3); (2, 5)",4; 5,2,1,0,1,True
111,6,7,"(0, 4); (1, 3); (1, 4); (2, 3); (2, 4); (3, 4); (4, 5)",1; 2,2,1,0,1,True
112,6,7,"(0, 1); (1, 2); (1, 4); (1, 5); (2, 3); (2, 4); (2, 5)",1; 2; 4; 5,4,1,0,1,True
113,6,7,"(0, 2); (0, 3); (0, 4); (1, 2); (1, 3); (2, 3); (3, 5)",1; 3,2,1,0,1,True
114,6,7,"(0, 4); (1, 2); (1, 3); (1, 4); (2, 3); (2, 4); (4, 5)",3; 4,2,1,0,1,True
115,6,7,"(0, 1); (1, 4); (1, 5); (2, 3); (2, 4); (2, 5); (4, 5)",,0,1,0,1,True
116,6,7,"(0, 1); (0, 2); (0, 3); (1, 2); (1, 3); (2, 3); (4, 5)",,0,1,0,1,True
117,6,7,"(0, 1); (0, 2); (0, 3); (0, 4); (0, 5); (2, 3); (4, 5)",2; 3; 4; 5,4,1,0,1,True
118,6,7,"(0, 1); (0, 4); (1, 2); (1, 4); (1, 5); (2, 3); (3, 4)",0; 1; 2; 3,4,1,0,1,True
119,6,7,"(0, 1); (0, 2); (0, 3); (0, 4); (1, 4); (2, 3); (3, 5)",0; 1; 2; 4,4,1,0,1,True
120,6,7,"(0, 4); (0, 5); (1, 3); (1, 4); (2, 3); (2, 4); (3, 4)",0; 1; 2; 4,4,1,0,1,True
121,6,7,"(0, 2); (1, 2); (1, 4); (2, 3); (2, 5); (3, 4); (4, 5)",1; 2; 3; 5,4,1,0,1,True
122,6,7,"(0, 1); (0, 3); (0, 4); (1, 2); (1, 5); (2, 3); (3, 4)",2; 4,2,1,0,1,True
123,6,7,"(0, 4); (0, 5); (1, 2); (1, 3); (1, 4); (2, 3); (2, 4)",0; 3,2,1,0,1,True
124,6,7,"(0, 1); (0, 2); (0, 4); (1, 2); (1, 5); (2, 3); (3, 4)",3; 4,2,1,0,1,True
125,6,7,"(0, 2); (1, 2); (1, 3); (1, 4); (2, 5); (3, 5); (4, 5)",3; 4,2,1,0,1,True
126,6,7,"(0, 2); (0, 5); (1, 3); (1, 4); (2, 3); (3, 4); (3, 5)",0; 1; 2; 3; 4; 5,6,1,0,1,True
127,6,7,"(0, 2); (0, 5); (1, 2); (1, 3); (2, 3); (3, 4); (4, 5)",0; 1; 4; 5,4,1,0,1,True
128,6,7,"(0, 1); (0, 3); (0, 5); (1, 2); (2, 3); (3, 4); (4, 5)",1; 2; 4; 5,4,1,0,1,True
